iter	Passed	Remaining
880	3885	524
881	3890	520
882	3896	516
883	3899	511
884	3902	507
885	3909	503
886	3913	498
887	3917	494
888	3923	489
889	3927	485
890	3930	480
891	3934	476
892	3942	472
893	3945	467
894	3948	463
895	3954	459
896	3957	454
897	3959	449
898	3962	445
899	3965	440
900	3971	436
901	3976	432
902	3980	427
903	3986	423
904	3990	418
905	3993	414
906	3997	409
907	4001	405
908	4005	400
909	4010	396
910	4014	392
911	4017	387
912	4020	383
913	4035	379
914	4039	375
915	4046	371
916	4049	366
917	4053	362
918	4060	357
919	4063	353
920	4067	348
921	4075	344
922	4077	340
923	4080	335
924	4091	331
925	4095	327
926	4098	322
927	4101	318
928	4107	313
929	4113	309
930	4115	305
931	4123	300
932	4126	296
933	4130	291
934	4135	287
935	4138	282
936	4141	278
937	4145	274
938	4148	269
939	4151	265
940	4154	260
941	4157	255
942	4164	251
943	4168	247
944	4173	242
945	4180	238
946	4186	234
947	4190	229
948	4198	225
949	4202	221
950	4205	216
951	4211	212
952	4216	207
953	4219	203
954	4227	199
955	4230	194
956	4234	190
957	4255	186
958	4261	182
959	4264	177
960	4267	173
961	4269	168
962	4271	164
963	4277	159
964	4279	155
965	4281	150
966	4284	146
967	4286	141
968	4290	137
969	4294	132
970	4298	128
971	4305	124
972	4311	119
973	4315	115
974	4318	110
975	4323	106
976	4326	101
977	4332	97
978	4338	93
979	4352	88
980	4356	84
981	4359	79
982	4362	75
983	4372	71
984	4376	66
985	4379	62
986	4392	57
987	4399	53
988	4408	49
989	4415	44
990	4427	40
991	4440	35
992	4444	31
993	4448	26
994	4457	22
995	4460	17
996	4464	13
997	4468	8
998	4471	4
999	4476	0
